ppt_id,lg_struc,trial_idx,task,rt,time_elapsed,item_type,button_pressed,responded_correctly,chosen_response,target_form,target_idcs,foil_form,foil_idcs
qeywsx0thqnymzf,pfx,305,2afc,1694,188927,pair,0,True,cuqi,cuqi,12 9,vumu,5 10
qeywsx0thqnymzf,pfx,308,2afc,873,192476,triplet,1,True,buxoje,buxoje,11 7 8,xocuvu,7 12 5
qeywsx0thqnymzf,pfx,311,2afc,907,195160,pair,1,True,buxo,buxo,11 7,dabu,3 11
qeywsx0thqnymzf,pfx,314,2afc,3023,200776,triplet,1,False,bumuko,vukolu,5 1 2,bumuko,11 10 1
qeywsx0thqnymzf,pfx,317,2afc,2118,204751,pair,0,False,muqi,qimu,9 10,muqi,10 9
qeywsx0thqnymzf,pfx,320,2afc,2154,208737,pair,1,False,rulu,cuqi,12 9,rulu,6 2
qeywsx0thqnymzf,pfx,323,2afc,936,211469,pair,0,False,vumu,ruda,6 3,vumu,5 10
qeywsx0thqnymzf,pfx,326,2afc,568,213892,pair,1,True,kolu,kolu,1 2,muqi,10 9
qeywsx0thqnymzf,pfx,329,2afc,1135,217539,triplet,1,False,jeqeda,rudaqe,6 3 4,jeqeda,8 4 3
qeywsx0thqnymzf,pfx,332,2afc,755,220968,triplet,1,False,xocuvu,vukolu,5 1 2,xocuvu,7 12 5
qeywsx0thqnymzf,pfx,335,2afc,2359,225172,pair,1,False,buqe,qimu,9 10,buqe,11 4
qeywsx0thqnymzf,pfx,338,2afc,653,228316,triplet,0,False,ruluqi,rudaqe,6 3 4,ruluqi,6 2 9
qeywsx0thqnymzf,pfx,341,2afc,1154,232048,triplet,0,False,bumuko,cuqimu,12 9 10,bumuko,11 10 1
qeywsx0thqnymzf,pfx,344,2afc,669,234532,pair,1,False,rulu,buxo,11 7,rulu,6 2
qeywsx0thqnymzf,pfx,347,2afc,627,237040,pair,0,False,koru,vuko,5 1,koru,1 6
qeywsx0thqnymzf,pfx,350,2afc,1451,240294,pair,0,False,cuje,ruda,6 3,cuje,12 8
qeywsx0thqnymzf,pfx,353,2afc,624,242667,pair,0,True,daqe,daqe,3 4,dabu,3 11
qeywsx0thqnymzf,pfx,356,2afc,833,245357,pair,1,True,daqe,daqe,3 4,cuje,12 8
qeywsx0thqnymzf,pfx,359,2afc,720,248653,triplet,0,True,cuqimu,cuqimu,12 9 10,jeqeda,8 4 3
qeywsx0thqnymzf,pfx,362,2afc,1257,251810,pair,1,True,kolu,kolu,1 2,xocu,7 12
qeywsx0thqnymzf,pfx,365,2afc,651,254365,pair,0,True,xoje,xoje,7 8,koru,1 6
qeywsx0thqnymzf,pfx,368,2afc,477,256801,pair,1,True,xoje,xoje,7 8,xocu,7 12
qeywsx0thqnymzf,pfx,371,2afc,625,259987,triplet,1,True,buxoje,buxoje,11 7 8,ruluqi,6 2 9
qeywsx0thqnymzf,pfx,374,2afc,1814,263688,pair,0,True,vuko,vuko,5 1,buqe,11 4
5llmc5ccfabu5c5,nom,305,2afc,2375,254336,pair,0,True,buxo,buxo,10 11,mubu,5 10
5llmc5ccfabu5c5,nom,308,2afc,3303,259524,pair,1,True,rucu,rucu,1 2,xoqi,11 4
5llmc5ccfabu5c5,nom,311,2afc,1096,263217,triplet,0,True,buxoje,buxoje,10 11 12,xoburu,11 10 1
5llmc5ccfabu5c5,nom,314,2afc,611,266381,triplet,1,True,buxoje,buxoje,10 11 12,daqilu,8 4 3
5llmc5ccfabu5c5,nom,317,2afc,679,268970,pair,1,False,buqe,xoje,11 12,buqe,10 9
5llmc5ccfabu5c5,nom,320,2afc,473,271283,pair,0,True,culu,culu,2 3,buqe,10 9
5llmc5ccfabu5c5,nom,323,2afc,698,274509,triplet,0,False,xoburu,ruculu,1 2 3,xoburu,11 10 1
5llmc5ccfabu5c5,nom,326,2afc,689,277859,triplet,0,False,vucuqe,qimuvu,4 5 6,vucuqe,6 2 9
5llmc5ccfabu5c5,nom,329,2afc,472,280941,triplet,0,True,kodaqe,kodaqe,7 8 9,kojemu,7 12 5
5llmc5ccfabu5c5,nom,332,2afc,526,283315,pair,1,True,koda,koda,7 8,luxo,3 11
5llmc5ccfabu5c5,nom,335,2afc,505,285714,pair,0,True,culu,culu,2 3,koje,7 12
5llmc5ccfabu5c5,nom,338,2afc,554,288114,pair,0,True,rucu,rucu,1 2,ruvu,1 6
5llmc5ccfabu5c5,nom,341,2afc,502,290492,pair,0,False,koje,daqe,8 9,koje,7 12
5llmc5ccfabu5c5,nom,344,2afc,475,292924,pair,0,False,xoqi,xoje,11 12,xoqi,11 4
5llmc5ccfabu5c5,nom,347,2afc,765,296285,triplet,0,False,kojemu,ruculu,1 2 3,kojemu,7 12 5
5llmc5ccfabu5c5,nom,350,2afc,545,298734,pair,1,False,vucu,buxo,10 11,vucu,6 2
5llmc5ccfabu5c5,nom,353,2afc,451,301020,pair,1,True,qimu,qimu,4 5,jeda,12 8
5llmc5ccfabu5c5,nom,356,2afc,402,303282,pair,1,True,koda,koda,7 8,vucu,6 2
5llmc5ccfabu5c5,nom,359,2afc,516,305695,pair,0,True,muvu,muvu,5 6,luxo,3 11
5llmc5ccfabu5c5,nom,362,2afc,457,307986,pair,0,False,ruvu,daqe,8 9,ruvu,1 6
5llmc5ccfabu5c5,nom,365,2afc,547,311087,triplet,0,True,qimuvu,qimuvu,4 5 6,daqilu,8 4 3
5llmc5ccfabu5c5,nom,368,2afc,504,314214,triplet,0,True,kodaqe,kodaqe,7 8 9,vucuqe,6 2 9
5llmc5ccfabu5c5,nom,371,2afc,957,316998,pair,1,True,qimu,qimu,4 5,mubu,5 10
5llmc5ccfabu5c5,nom,374,2afc,410,319259,pair,1,True,muvu,muvu,5 6,jeda,12 8
07s4mftvhzjqf1h,sfx,305,2afc,4015,246480,pair,0,False,muqi,cuje,2 5,muqi,10 9
07s4mftvhzjqf1h,sfx,308,2afc,2933,251968,triplet,0,True,qimuqe,qimuqe,9 10 12,daxobu,8 4 3
07s4mftvhzjqf1h,sfx,311,2afc,578,255112,triplet,0,False,vumuru,rucuje,1 2 5,vumuru,11 10 1
07s4mftvhzjqf1h,sfx,314,2afc,1504,258398,pair,0,False,rulu,davu,8 11,rulu,1 6
07s4mftvhzjqf1h,sfx,317,2afc,4358,265273,triplet,1,True,buxolu,buxolu,3 4 6,daxobu,8 4 3
07s4mftvhzjqf1h,sfx,320,2afc,780,268704,triplet,0,False,koqeje,rucuje,1 2 5,koqeje,7 12 5
