ppt_id,listnum,trial_index,task,rt,time_elapsed,distrib,button_clicked,correct_form,chosen_form,incorrect_form,correct_img,foil_img,target_img_position,correct,chose_baseline_sfx
zwkzm0s9ta25cxo,1,8,train,7259,171593,non-baseline,NA,vebmo,NA,NA,imgs/car.png,NA,NA,NA,NA
zwkzm0s9ta25cxo,1,9,attn_pic_selection,2989,174585,non-baseline,1,vebmo,NA,NA,imgs/car.png,imgs/curtain.png,1,TRUE,NA
zwkzm0s9ta25cxo,1,13,train,3705,182303,baseline,NA,puthni,NA,NA,imgs/ball.png,NA,NA,NA,NA
zwkzm0s9ta25cxo,1,14,attn_word_selection,4981,187287,baseline,0,puthni,puthni,puthmo,imgs/ball.png,NA,NA,TRUE,NA
zwkzm0s9ta25cxo,1,18,train,1737,193045,baseline,NA,puthni,NA,NA,imgs/ball.png,NA,NA,NA,NA
zwkzm0s9ta25cxo,1,19,attn_pic_selection,2295,195343,baseline,1,puthni,NA,NA,imgs/ball.png,imgs/scissors.png,1,TRUE,NA
zwkzm0s9ta25cxo,1,23,train,3712,203077,baseline,NA,kuzni,NA,NA,imgs/broom.png,NA,NA,NA,NA
zwkzm0s9ta25cxo,1,24,attn_word_selection,2263,205343,baseline,1,kuzni,kuzni,kuzmo,imgs/broom.png,NA,NA,TRUE,NA
zwkzm0s9ta25cxo,1,28,train,3019,212373,baseline,NA,yethni,NA,NA,imgs/ruler.png,NA,NA,NA,NA
zwkzm0s9ta25cxo,1,29,attn_word_selection,2398,214773,baseline,1,yethni,yethni,yethmo,imgs/ruler.png,NA,NA,TRUE,NA
zwkzm0s9ta25cxo,1,33,train,2108,220913,baseline,NA,zoofni,NA,NA,imgs/scissors.png,NA,NA,NA,NA
zwkzm0s9ta25cxo,1,34,attn_word_selection,2240,223155,baseline,0,zoofni,zoofni,zoofmo,imgs/scissors.png,NA,NA,TRUE,NA
zwkzm0s9ta25cxo,1,38,train,2878,230053,non-baseline,NA,chulmo,NA,NA,imgs/curtain.png,NA,NA,NA,NA
zwkzm0s9ta25cxo,1,39,attn_word_selection,4068,234123,non-baseline,0,chulmo,chulmo,chulni,imgs/curtain.png,NA,NA,TRUE,NA
zwkzm0s9ta25cxo,1,43,train,2026,240179,baseline,NA,puthni,NA,NA,imgs/ball.png,NA,NA,NA,NA
zwkzm0s9ta25cxo,1,44,attn_pic_selection,1482,241663,baseline,0,puthni,NA,NA,imgs/ball.png,imgs/broom.png,0,TRUE,NA
zwkzm0s9ta25cxo,1,48,train,2777,248459,non-baseline,NA,loormo,NA,NA,imgs/toilet.png,NA,NA,NA,NA
zwkzm0s9ta25cxo,1,49,attn_pic_selection,1490,249951,non-baseline,0,loormo,NA,NA,imgs/toilet.png,imgs/car.png,0,TRUE,NA
zwkzm0s9ta25cxo,1,53,train,1173,255139,baseline,NA,zoofni,NA,NA,imgs/scissors.png,NA,NA,NA,NA
zwkzm0s9ta25cxo,1,54,attn_word_selection,3272,258413,baseline,1,zoofni,zoofni,zoofmo,imgs/scissors.png,NA,NA,TRUE,NA
